City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Damghan,36.17,54.35,51.39,42,0,1.1,IR,2020-11-06 01:13:10
70,Jamestown,42.1,-79.24,60.01,44,1,8.05,US,2020-11-06 01:09:13
71,Luderitz,-26.65,15.16,58.48,91,74,5.14,NA,2020-11-06 01:13:10
72,Karratha,-20.74,116.85,94.89,20,0,13.11,AU,2020-11-06 01:10:50
73,Aitape,-3.14,142.35,81.36,73,100,3.76,PG,2020-11-06 01:13:10
74,Lagoa,39.05,-27.98,60.12,64,10,15.66,PT,2020-11-06 01:13:11
75,Touros,-5.2,-35.46,78.8,83,20,6.93,BR,2020-11-06 01:13:11
76,Solnechnyy,50.72,136.63,28.69,81,100,3.42,RU,2020-11-06 01:13:11
77,Coahuayana,18.73,-103.68,78.8,78,40,5.82,MX,2020-11-06 01:09:38
78,Mount Isa,-20.73,139.5,84.2,12,0,10.29,AU,2020-11-06 01:13:11
79,Wau,7.7,28.0,75.51,69,100,2.77,SS,2020-11-06 01:13:11
80,Gorodovikovsk,46.09,41.93,43.27,78,0,6.26,RU,2020-11-06 01:13:11
81,Butaritari,3.07,172.79,82.44,75,88,8.55,KI,2020-11-06 01:13:11
82,Ilulissat,69.22,-51.1,19.4,67,100,8.05,GL,2020-11-06 01:13:11
83,Kalmunai,7.42,81.82,80.29,75,84,0.76,LK,2020-11-06 01:13:11
84,Punta Arenas,-53.15,-70.92,48.2,49,20,17.22,CL,2020-11-06 01:12:02
85,Bambanglipuro,-7.95,110.28,82.02,79,100,7.23,ID,2020-11-06 01:13:12
86,Bathsheba,13.22,-59.52,80.6,83,40,21.92,BB,2020-11-06 01:13:12
87,Zhigansk,66.77,123.37,-6.45,91,99,5.41,RU,2020-11-06 01:13:12
88,Lompoc,34.64,-120.46,71.6,49,1,10.29,US,2020-11-06 01:09:51
89,Ahipara,-35.17,173.17,69.51,72,95,8.19,NZ,2020-11-06 01:13:12
90,Avarua,-21.21,-159.78,78.8,74,27,10.29,CK,2020-11-06 01:13:12
91,Qaanaaq,77.48,-69.36,-8.39,78,34,6.67,GL,2020-11-06 01:13:12
92,Albanel,48.88,-72.45,41.0,86,100,2.24,CA,2020-11-06 01:08:46
93,Champerico,14.3,-91.92,75.2,94,90,4.7,GT,2020-11-06 01:13:12
94,Tromso,69.65,18.96,39.2,77,75,43.62,NO,2020-11-06 01:13:12
95,Plouzane,48.38,-4.62,44.6,86,0,12.75,FR,2020-11-06 01:13:12
