City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
89,Shenzhen,22.55,114.07,71.01,63,63,1.01,broken clouds
90,Vila Velha,-20.33,-40.29,80.6,69,20,17.22,few clouds
91,Fairview,40.81,-74.0,50.0,76,90,9.17,overcast clouds
92,Grand Gaube,-20.01,57.66,75.99,77,1,1.99,clear sky
93,Ingham,42.6,-84.38,50.0,50,1,4.36,clear sky
94,Zhigalovo,54.81,105.16,20.64,93,74,2.59,broken clouds
95,Kolyvan,55.31,82.74,26.6,92,90,11.18,light snow
96,Barra Do Garcas,-15.89,-52.26,89.6,49,40,4.7,scattered clouds
97,Seryshevo,51.09,128.38,19.56,95,94,10.22,overcast clouds
98,Naze,28.37,129.48,69.8,68,20,17.22,few clouds
99,San Cristobal,7.77,-72.22,84.2,62,40,9.17,scattered clouds
100,Sao Jose Da Coroa Grande,-8.9,-35.15,78.57,77,4,8.9,clear sky
101,Port-Cartier,50.03,-66.87,41.0,56,75,9.17,broken clouds
102,Shamkhal,43.06,47.34,35.6,69,0,11.18,clear sky
103,Akyab,20.15,92.9,77.0,78,0,5.59,clear sky
104,Waipawa,-41.41,175.52,59.0,77,13,23.04,few clouds
105,Svit,49.06,20.21,37.99,87,90,3.36,overcast clouds
106,Fare,-16.7,-151.02,79.99,75,89,11.74,moderate rain
107,Atyrau,47.12,51.88,30.2,68,75,6.71,broken clouds
108,Ancud,-41.87,-73.82,64.99,55,75,10.29,broken clouds
109,Kalmunai,7.42,81.82,80.26,82,34,3.31,scattered clouds
110,Bandarbeyla,9.49,50.81,76.39,80,27,16.93,scattered clouds
111,Ornskoldsvik,63.29,18.72,39.2,93,100,9.17,overcast clouds
112,Maputo,-25.97,32.59,80.6,78,40,9.17,scattered clouds
113,Hamilton,39.18,-84.53,55.0,46,1,4.7,clear sky
114,Oranjemund,-28.55,16.43,69.48,48,0,5.03,clear sky
115,Gumla,23.05,84.55,66.0,68,8,4.45,clear sky
116,Sioux Lookout,50.1,-91.92,26.6,86,90,10.29,overcast clouds
117,Sulangan,11.14,123.72,82.51,75,100,1.95,overcast clouds
118,Komsomolskiy,40.43,71.72,42.8,87,90,9.17,moderate rain
119,Pangnirtung,66.15,-65.71,10.4,66,90,2.24,light snow
120,Macomb,40.46,-90.67,55.0,54,1,16.11,clear sky
121,Mitsamiouli,-11.38,43.28,79.32,75,99,4.94,overcast clouds
122,Nouadhibou,20.93,-17.03,82.4,26,100,6.93,overcast clouds
123,Salalah,17.02,54.09,80.6,69,20,3.36,few clouds
124,Gravdal,68.12,13.5,48.2,66,75,11.41,broken clouds
125,Abha,18.22,42.51,62.6,87,0,5.82,clear sky
126,Pontianak,-0.03,109.33,76.33,94,88,2.21,overcast clouds
127,Grindavik,63.84,-22.43,41.0,86,90,25.28,overcast clouds
128,Dubbo,-32.25,148.62,64.4,77,90,9.04,overcast clouds
129,Calabozo,8.92,-67.43,85.86,73,38,4.23,scattered clouds
130,San Francisco Del Mar,16.23,-94.65,87.66,60,17,1.66,few clouds
131,Kourou,5.16,-52.65,84.2,79,0,5.82,clear sky
132,Filadelfia,39.95,-75.16,52.0,76,90,12.75,overcast clouds
133,Leshan,29.56,103.76,64.02,67,79,0.98,broken clouds
134,Carnarvon,-24.87,113.63,64.4,77,40,12.75,scattered clouds
135,Hasaki,35.73,140.83,44.6,87,40,6.93,scattered clouds
136,Dingle,11.0,122.67,75.49,91,85,2.04,light rain
137,Clyde River,70.47,-68.59,-2.2,64,20,21.92,few clouds
138,Gimli,50.63,-96.99,19.4,67,100,8.05,overcast clouds
139,Coquimbo,-29.95,-71.34,59.0,77,75,11.41,broken clouds
140,Peno,56.93,32.74,35.11,93,100,3.18,overcast clouds
141,Nabire,-3.37,135.48,75.13,85,100,3.29,light rain
142,Champerico,14.3,-91.92,86.0,66,40,11.41,scattered clouds
143,Pochutla,15.74,-96.47,89.6,59,20,8.05,few clouds
144,Leshukonskoye,64.9,45.76,32.68,98,100,2.39,overcast clouds
145,Ifanadiana,-21.3,47.63,67.66,90,39,1.99,scattered clouds
146,Provost,52.35,-110.27,5.0,84,88,14.99,overcast clouds
147,College,64.86,-147.8,14.0,84,75,1.66,mist
148,Castro,-24.79,-50.01,71.8,77,100,3.76,overcast clouds
149,La Ronge,55.1,-105.28,5.0,71,96,10.29,overcast clouds
150,Talnakh,69.49,88.4,-9.4,76,66,15.66,broken clouds
151,Berlevag,70.86,29.09,33.8,79,75,19.46,broken clouds
152,Bahia De Caraquez,-0.6,-80.42,80.6,69,75,8.05,broken clouds
153,Cherskiy,68.75,161.3,4.73,95,100,9.08,overcast clouds
154,Torbay,47.67,-52.73,55.0,93,75,25.28,broken clouds
155,Canavieiras,-15.68,-38.95,84.2,66,20,13.87,few clouds
156,Cabo San Lucas,22.89,-109.91,82.0,50,40,3.36,scattered clouds
157,Ponta Do Sol,32.67,-17.1,68.0,72,20,2.24,few clouds
158,Arraial Do Cabo,-22.97,-42.03,82.4,78,75,6.93,broken clouds
159,Hami,42.8,93.45,34.79,78,0,0.56,clear sky
160,Along,28.17,94.77,56.79,63,0,1.81,clear sky
161,Saint George,37.1,-113.58,54.0,39,1,3.36,clear sky
162,Belmonte,-15.86,-38.88,84.2,66,20,13.87,few clouds
163,Kruisfontein,-34.0,24.73,66.99,81,0,1.01,clear sky
164,Pevek,69.7,170.31,8.26,94,38,7.29,scattered clouds
165,Hermanus,-34.42,19.23,66.0,77,8,8.52,clear sky
166,Kendari,-3.94,122.5,79.12,83,47,2.55,scattered clouds
167,Bosaso,11.28,49.18,75.83,77,1,2.13,clear sky
168,Fairbanks,64.84,-147.72,14.0,84,75,1.54,fog
169,Cidreira,-30.18,-50.21,70.9,81,29,7.78,scattered clouds
170,Kyren,51.68,102.14,31.96,83,15,3.0,few clouds
171,Victoria,22.29,114.16,72.0,59,63,1.01,broken clouds
172,Bengkulu,-3.8,102.27,76.01,87,36,3.89,scattered clouds
173,Diffa,13.32,12.61,80.46,23,0,5.06,clear sky
174,Husavik,66.04,-17.34,37.4,74,90,5.82,overcast clouds
175,Alta Floresta,-9.88,-56.09,81.63,71,100,4.0,light rain
176,Sonamura,23.47,91.27,70.0,91,21,4.59,few clouds
177,Batagay-Alyta,67.8,130.41,-4.97,88,99,1.92,overcast clouds
178,Tezu,27.92,96.17,67.55,53,0,3.15,clear sky
179,Timra,62.49,17.33,41.0,93,100,10.29,overcast clouds
180,Hammond,41.58,-87.5,52.0,50,1,8.05,clear sky
181,Bethel,41.37,-73.41,45.0,87,90,10.29,moderate rain
182,Krasnyy Oktyabr,56.12,38.88,32.94,96,83,4.5,broken clouds
183,Povenets,62.85,34.83,35.55,92,95,6.15,overcast clouds
184,Port Shepstone,-30.74,30.45,67.71,77,95,15.64,overcast clouds
185,Troitskoye,52.98,84.68,29.59,92,94,23.42,overcast clouds
186,Berdigestyakh,62.1,126.7,13.62,96,96,6.13,light snow
187,Fortuna,40.6,-124.16,57.99,62,1,2.84,clear sky
188,Kayerkan,69.35,87.76,-9.4,76,60,15.66,broken clouds
189,Ribeira Grande,38.52,-28.7,60.8,82,40,9.78,scattered clouds
190,Nikolskoye,59.7,30.79,41.0,86,90,3.31,overcast clouds
191,Sitka,57.05,-135.33,41.0,86,75,8.05,moderate rain
192,Tocopilla,-22.09,-70.2,68.74,43,21,6.46,few clouds
193,Manzil Salim,35.86,8.48,57.2,41,20,4.7,few clouds
194,Souillac,-20.52,57.52,75.2,83,40,13.87,shower rain
195,Upernavik,72.79,-56.15,18.45,96,100,22.79,light snow
196,Carutapera,-1.2,-46.02,83.03,71,87,7.78,overcast clouds
197,Kieta,-6.22,155.63,79.75,80,46,4.97,light rain
198,Lethem,3.38,-59.8,91.17,52,100,6.98,moderate rain
199,Flinders,-34.58,150.86,69.01,88,100,1.01,light rain
200,Puerto Baquerizo Moreno,-0.9,-89.6,71.6,88,90,5.82,light rain
201,Bredasdorp,-34.53,20.04,66.0,77,10,3.2,clear sky
202,Santa Cruz,-17.8,-63.17,86.0,51,75,10.29,broken clouds
203,North Bend,43.41,-124.22,51.01,87,75,9.17,broken clouds
204,Vapnyarka,48.53,28.74,37.99,78,100,9.15,overcast clouds
205,Cap Malheureux,-19.98,57.61,75.99,77,0,1.99,clear sky
206,Susanville,40.42,-120.65,39.2,51,1,2.66,clear sky
207,Penzance,50.12,-5.54,53.6,93,40,18.34,scattered clouds
208,Wunsiedel,50.03,12.02,43.0,95,89,3.0,overcast clouds
209,Barghat,22.03,79.72,67.08,86,12,3.02,few clouds
210,Abu Dhabi,24.47,54.37,82.4,74,0,5.82,clear sky
211,Tazovskiy,67.47,78.7,-8.1,91,73,8.86,broken clouds
212,Pervomayskoye,43.92,46.71,33.12,85,0,0.6,clear sky
213,Butaritari,3.07,172.79,80.82,77,100,13.53,overcast clouds
214,Galeana,24.83,-100.07,79.0,28,14,1.01,few clouds
215,Shingu,33.73,135.98,57.45,89,80,8.81,broken clouds
216,Noyabrsk,63.2,75.45,2.57,94,96,6.73,overcast clouds
217,Port Macquarie,-31.43,152.92,64.99,88,100,11.41,overcast clouds
218,Gonbad-E Qabus,37.25,55.17,52.92,61,99,0.45,overcast clouds
219,Roald,62.58,6.13,55.4,50,0,11.41,clear sky
220,Selma,36.57,-119.61,59.0,44,75,1.1,broken clouds
221,Warrington,53.39,-2.58,52.0,81,100,11.41,overcast clouds
222,Klaksvik,62.23,-6.59,48.2,93,100,23.04,moderate rain
223,The Valley,18.22,-63.06,86.0,70,40,16.11,scattered clouds
224,Poddorye,57.47,31.12,38.07,90,99,3.58,overcast clouds
225,Sisimiut,66.94,-53.67,27.28,91,100,20.33,light snow
226,Wasilla,61.58,-149.44,32.0,92,90,2.91,snow
227,Coahuayana,18.73,-103.68,80.6,69,20,6.93,few clouds
228,Paita,-5.09,-81.11,78.8,54,40,20.8,scattered clouds
229,Dikson,73.51,80.55,3.92,95,77,2.68,broken clouds
230,Urumqi,43.8,87.6,35.6,59,0,4.47,clear sky
231,Inuvik,68.35,-133.72,3.2,77,100,5.82,overcast clouds
232,Los Llanos De Aridane,28.66,-17.92,71.6,83,0,1.07,clear sky
233,Ruteng,-8.61,120.47,64.45,100,33,1.83,scattered clouds
234,Kerch,45.36,36.48,47.88,63,0,18.3,clear sky
235,Da Nang,16.07,108.22,71.6,88,40,2.24,scattered clouds
236,Tezpur,26.63,92.8,63.37,80,0,3.87,clear sky
237,Khatanga,71.97,102.5,-11.6,90,0,8.43,clear sky
238,Benguela,-12.58,13.41,78.71,78,88,4.41,moderate rain
239,Troitsko-Pechorsk,62.71,56.2,17.65,94,98,6.55,overcast clouds
240,Rocha,-34.48,-54.33,69.22,76,33,11.3,scattered clouds
241,Pacific Grove,36.62,-121.92,61.0,62,1,3.36,clear sky
242,Hauterive,46.09,3.45,50.0,71,75,4.7,broken clouds
243,Kutum,14.2,24.67,68.22,24,1,12.57,clear sky
244,Whitehorse,60.72,-135.05,23.0,79,75,17.22,broken clouds
245,Tawang,27.58,91.87,40.53,62,0,5.46,clear sky
246,Springfield,37.22,-93.3,59.0,35,90,9.17,overcast clouds
247,Acapulco,16.86,-99.89,86.0,66,5,5.82,clear sky
248,Yulara,-25.24,130.99,68.0,28,0,6.93,clear sky
249,Greytown,-29.06,30.59,56.28,95,53,1.61,broken clouds
250,Salinas,36.68,-121.66,62.6,45,1,2.68,clear sky
251,Tamale,9.4,-0.84,84.38,29,0,3.33,clear sky
252,Shache,38.42,77.24,30.15,86,28,2.35,scattered clouds
253,Zhigansk,66.77,123.37,6.87,95,100,12.06,light snow
254,Anchorage,61.22,-149.9,33.01,96,90,4.7,light snow
255,Tucson,32.22,-110.93,71.6,20,20,1.57,few clouds
256,Baykit,61.67,96.37,16.63,93,82,3.51,broken clouds
257,Lavrentiya,65.58,-171.0,30.4,94,100,21.47,overcast clouds
258,Hastings,50.86,0.57,53.01,72,72,5.99,broken clouds
259,Nome,64.5,-165.41,30.2,92,90,3.15,mist
260,Cururupu,-1.83,-44.87,81.82,77,33,5.08,scattered clouds
261,San Patricio,28.02,-97.52,86.0,61,75,11.41,broken clouds
262,Merauke,-8.47,140.33,77.0,82,0,10.65,clear sky
263,East London,-33.02,27.91,67.14,80,34,19.3,scattered clouds
264,Kohat,33.58,71.45,59.0,67,40,4.7,haze
265,Majene,-3.54,118.97,79.54,81,15,3.98,few clouds
266,Vostok,46.49,135.88,29.61,99,100,10.65,overcast clouds
267,Campbellsville,37.34,-85.34,55.99,47,1,5.82,clear sky
268,Sorland,67.67,12.69,48.2,76,75,24.16,broken clouds
269,Bandiagara,14.35,-3.61,78.69,17,0,8.99,clear sky
270,Arak,34.09,49.69,44.91,77,100,2.75,moderate rain
271,Bambous Virieux,-20.34,57.76,75.99,83,40,13.87,shower rain
272,Zyryanka,65.75,150.85,-17.23,89,33,3.06,scattered clouds
273,Davila,18.47,120.58,80.26,83,95,22.7,overcast clouds
274,Nuevitas,21.55,-77.26,86.0,66,40,12.75,scattered clouds
275,Necochea,-38.55,-58.74,74.61,57,46,13.51,scattered clouds
276,Portland,45.52,-122.68,46.0,75,75,4.7,broken clouds
277,Saint-Augustin,51.23,-58.65,39.25,71,0,11.16,clear sky
278,Haines Junction,60.75,-137.51,19.4,79,93,1.12,overcast clouds
279,Nantucket,41.28,-70.1,57.2,87,90,16.11,moderate rain
280,Redcliffe,-27.23,153.1,66.99,82,75,4.7,broken clouds
281,Quelimane,-17.88,36.89,80.6,78,40,9.17,scattered clouds
282,Dongsheng,39.82,109.98,35.1,72,0,4.99,clear sky
283,Santa Marta,11.24,-74.2,82.99,74,97,6.22,light rain
284,Omsukchan,62.53,155.8,-12.84,85,100,4.79,overcast clouds
285,Matagami,49.75,-77.63,39.2,76,75,10.29,broken clouds
286,Otradnoye,59.78,30.82,41.0,98,66,3.36,broken clouds
287,Tigil,57.8,158.67,18.79,97,82,1.19,light snow
288,Calvia,39.57,2.51,63.0,77,95,5.82,overcast clouds
289,Bilma,18.69,12.92,71.4,29,0,4.47,clear sky
290,Tura,25.52,90.22,65.32,76,0,4.79,clear sky
291,Ossora,59.24,163.07,19.4,83,1,4.94,clear sky
